municipio,anio,temp_max,temp_min,temp_app_max,temp_app_min,lluvia_acumulada,evapotranspiracion,latitud,longitud
Fresnillo de Trujano,2020,27.64,14.34,28.21,14.26,234.3,659.8,17.5428845,-98.0810684
Fresnillo de Trujano,2021,26.98,13.99,27.61,13.93,422.1,635.49,17.5428845,-98.0810684
Fresnillo de Trujano,2022,27.62,13.63,28.25,13.42,348.8,669.92,17.5428845,-98.0810684
Fresnillo de Trujano,2023,28.41,14.45,29.47,14.62,338.7,677.56,17.5428845,-98.0810684
Fresnillo de Trujano,2024,28.8,14.55,29.8,14.5,440.8,695.68,17.5428845,-98.0810684
Fresnillo de Trujano,2025,27.4,14.45,28.53,14.58,440.6,651.69,17.5428845,-98.0810684
Fresnillo de Trujano,2026,28.23,14.11,28.66,14.08,186.6,343.29,17.5428845,-98.0810684
Guadalupe Etla,2020,17.79,7.97,17.18,5.99,459.5,528.24,17.1017893,-96.4838072
Guadalupe Etla,2021,17.56,7.63,17.0,5.69,638.1,517.32,17.1017893,-96.4838072
Guadalupe Etla,2022,17.96,7.42,17.23,5.45,388.9,542.04,17.1017893,-96.4838072
Guadalupe Etla,2023,18.87,8.05,18.55,6.25,409.1,555.9,17.1017893,-96.4838072
Guadalupe Etla,2024,19.77,8.55,19.16,6.65,394.6,582.52,17.1017893,-96.4838072
Guadalupe Etla,2025,17.97,7.79,17.67,5.88,604.3,529.53,17.1017893,-96.4838072
Guadalupe Etla,2026,18.22,6.69,17.5,4.42,284.5,278.73,17.1017893,-96.4838072
Guadalupe de Ramírez,2020,26.29,13.89,27.06,13.69,317.0,635.79,17.4521782,-98.0951819
Guadalupe de Ramírez,2021,25.85,13.52,26.69,13.36,465.7,611.9,17.4521782,-98.0951819
Guadalupe de Ramírez,2022,26.38,13.39,27.12,13.06,360.7,645.17,17.4521782,-98.0951819
Guadalupe de Ramírez,2023,27.25,14.17,28.53,14.25,329.6,652.8,17.4521782,-98.0951819
Guadalupe de Ramírez,2024,27.84,14.48,28.96,14.36,437.6,676.99,17.4521782,-98.0951819
Guadalupe de Ramírez,2025,26.43,14.43,27.5,14.52,402.6,633.95,17.4521782,-98.0951819
Guadalupe de Ramírez,2026,27.17,14.06,27.58,13.93,207.0,335.28,17.4521782,-98.0951819
Guelatao de Juárez,2020,22.98,13.12,24.44,12.8,797.7,521.08,17.1905424,-96.293726
Guelatao de Juárez,2021,22.63,12.85,24.3,12.45,704.6,512.55,17.1905424,-96.293726
Guelatao de Juárez,2022,23.17,12.27,24.5,11.75,589.1,538.78,17.1905424,-96.293726
Guelatao de Juárez,2023,24.69,13.16,26.41,12.9,397.6,576.06,17.1905424,-96.293726
Guelatao de Juárez,2024,25.96,13.49,27.45,13.11,386.9,602.63,17.1905424,-96.293726
Guelatao de Juárez,2025,24.61,13.16,26.06,12.98,578.1,568.75,17.1905424,-96.293726
Guelatao de Juárez,2026,24.01,11.85,25.08,11.26,241.2,282.21,17.1905424,-96.293726
Guevea de Humboldt,2020,31.63,21.89,33.85,24.07,236.8,724.8,16.4733411,-95.2205001
Guevea de Humboldt,2021,31.12,21.7,33.46,24.03,612.2,691.12,16.4733411,-95.2205001
Guevea de Humboldt,2022,31.06,21.51,33.48,23.66,483.0,699.44,16.4733411,-95.2205001
Guevea de Humboldt,2023,32.78,22.4,35.14,25.05,335.2,747.98,16.4733411,-95.2205001
Guevea de Humboldt,2024,31.85,21.69,34.3,24.41,651.6,706.52,16.4733411,-95.2205001
Guevea de Humboldt,2025,31.93,21.93,33.95,24.25,437.3,738.55,16.4733411,-95.2205001
Guevea de Humboldt,2026,31.78,21.02,32.96,22.7,271.3,386.15,16.4733411,-95.2205001
Heroica Ciudad de Ejutla de Crespo,2020,24.46,13.3,24.15,12.41,407.5,616.65,16.3351392,-96.4354842
Heroica Ciudad de Ejutla de Crespo,2021,24.23,12.94,23.8,12.12,518.3,614.13,16.3351392,-96.4354842
Heroica Ciudad de Ejutla de Crespo,2022,24.62,12.7,24.0,11.74,386.8,639.3,16.3351392,-96.4354842
Heroica Ciudad de Ejutla de Crespo,2023,26.29,13.82,25.72,13.23,341.8,672.89,16.3351392,-96.4354842
Heroica Ciudad de Ejutla de Crespo,2024,26.77,14.24,26.36,13.48,452.9,678.53,16.3351392,-96.4354842
Heroica Ciudad de Ejutla de Crespo,2025,25.54,13.84,25.17,13.41,457.1,649.02,16.3351392,-96.4354842
Heroica Ciudad de Ejutla de Crespo,2026,25.92,13.01,24.76,11.92,262.4,343.98,16.3351392,-96.4354842
Heroica Ciudad de Huajuapan de León,2020,20.62,9.16,19.81,7.24,334.8,569.33,17.4824614,-97.4634449
Heroica Ciudad de Huajuapan de León,2021,20.32,8.87,19.68,7.01,452.2,560.47,17.4824614,-97.4634449
Heroica Ciudad de Huajuapan de León,2022,20.71,8.57,19.71,6.54,350.0,579.78,17.4824614,-97.4634449
Heroica Ciudad de Huajuapan de León,2023,21.67,9.09,21.16,7.48,303.6,594.19,17.4824614,-97.4634449
Heroica Ciudad de Huajuapan de León,2024,22.66,9.56,21.88,7.98,375.2,628.75,17.4824614,-97.4634449
